source,property_label,address,rent_total_usd,layout,beds,baths,max_residents,unit_numbers,move_in_dates,lease_term_notes,parking,parking_cost_per_year_usd,notes,contact_email,contact_phone,website,last_updated,unit,status,included_utilities,smoking_policy,pets,details_url
KAMAP_pdf,Coastline,6548 Cordoba,2700.0,1 Bed - 1 Bath,1.0,1.0,,26,9/16,,Available,,# 26 (9/16) Basic Origonal Unit Parking Available,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Coastline,6548 Cordoba,5100.0,2 Bed - 1.5 Bath,2.0,1.5,,,,13 month lease 7/13,,900,# 30 (13 month lease 7/13) Basic Original Unit $900 per year,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Penthouse,6621 Abrego,2775.0,1 Bed - 1 Bath,1.0,1.0,,42;56,7/27;7/27,,Available,,"# 42 (7/27), 56 (7/27) One Bedroom Units Parking Available",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Penthouse,6621 Abrego,2900.0,2 Singles - 1 Bath,,1.0,2.0,36,8/14,,,550,# 36 (8/14) SPLIT FLOOR PLAN UNITS (Split by Bathroom) Single $550 per year,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Penthouse,6621 Abrego,2950.0,2 Singles - 1 Bath,,1.0,2.0,1;8;35,7/31;7/27;7/27,,Covered,,"# 1 (7/31), 8 (7/27), 35 (7/27) SPLIT FLOOR PLAN with Balcony/Patio (Split by Bathroom) Covered Extra Long Spots",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Penthouse,6621 Abrego,3000.0,2 Singles - 1 Bath,,1.0,2.0,5;23;26;27;29;31;32,7/24;9/15;7/31;7/15;9/9;9/9;9/9,13 month lease - 6/01,,650,"# 5 (7/24), 12 (13 month lease - 6/01), 23 (9/15), 26 (7/31), 27 (7/15), 29 (9/9), 31 (9/9), 32 (9/9) Split by Closets $650 per year",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Boardwalk,6521 Cordoba,2950.0,1 Bed - 1 Bath,1.0,1.0,,36,9/16,,,,# 36 (9/16) Parking $1000 year,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Beachwalk,6556 El Nido,2880.0,1 Bed - 1 Bath,1.0,1.0,,4;5;8;12;13;14,8/21;8/21;8/21;8/21;8/21;8/25,,,,"# 4 (8/21), 5 (8/21), 8 (8/21), 12 (8/21), 13 (8/21), 14 (8/25) Parking $1000 year",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Aladdin,6512 Segovia,2980.0,2 Singles - 1 Bath,,1.0,2.0,215;305;308;309,7/8;7/17;7/17;7/17,,Available,,"# 215 (7/8), 305 (7/17), 308 (7/17), 309 (7/17) Parking Available",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Aladdin,6512 Segovia,3020.0,2 Singles - 1 Bath,,1.0,2.0,101;103;110;114;205;211;312;314;315;318,8/26;8/28;8/28;8/26;8/12;8/28;8/6;8/19;8/6;8/6,,,500,"# 101 (8/26), 103 (8/28), 110 (8/28), 114 (8/26), 205 (8/12), 211 (8/28), 312 (8/6), 314 (8/19), 315 (8/6), 318 (8/6) $500 per year",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
